
2023/10/17 (01:14:59) | ===> btop++ v.1.2.13
2023/10/17 (01:14:59) | INFO: Logger set to DEBUG
2023/10/17 (01:14:59) | DEBUG: Setting LC_ALL=en_US.UTF-8
2023/10/17 (01:14:59) | INFO: Running on /dev/pts/4
2023/10/17 (01:14:59) | DEBUG: Loading theme file: /home/abelc/.config/btop/themes/rose-pine-moon.theme

2023/10/17 (01:18:45) | ===> btop++ v.1.2.13
2023/10/17 (01:18:45) | INFO: Logger set to DEBUG
2023/10/17 (01:18:45) | DEBUG: Setting LC_ALL=en_US.UTF-8
2023/10/17 (01:18:45) | INFO: Running on /dev/pts/1
2023/10/17 (01:18:45) | DEBUG: Loading theme file: /home/abelc/.config/btop/themes/rose-pine-moon.theme

2023/10/17 (01:21:55) | ===> btop++ v.1.2.13
2023/10/17 (01:21:55) | INFO: Logger set to DEBUG
2023/10/17 (01:21:55) | DEBUG: Setting LC_ALL=en_US.UTF-8
2023/10/17 (01:21:55) | INFO: Running on /dev/pts/1
2023/10/17 (01:21:55) | DEBUG: Loading theme file: /home/abelc/.config/btop/themes/rose-pine-moon.theme
